"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2025","jif_quartile","jci_2025","percent_citable_oa"
"International Journal of Angiology","1061-1711","1615-5939","PERIPHERAL VASCULAR DISEASE","('ESCI',)","818","0.8","Q4","0.19","2.13"
"International Journal of Information Technologies and Systems Approach","1935-570X","1935-5718","COMPUTER SCIENCE, INFORMATION SYSTEMS","('ESCI',)","179","0.8","Q4","0.19","99.11"
"International Journal of Parallel Emergent and Distributed Systems","1744-5760","1744-5779","COMPUTER SCIENCE, THEORY & METHODS","('ESCI',)","326","0.8","Q4","0.19","8.84"
"Iranian Journal of Psychiatry and Behavioral Sciences","1735-8639","1735-9287","PSYCHIATRY","('ESCI',)","950","0.8","Q4","0.19","100.00"
"Israeli Journal of Aquaculture-Bamidgeh","0792-156X","3067-0152","FISHERIES","('SCIE',)","759","0.8","Q4","0.19","99.65"
"Journal of Applied Nonlinear Dynamics","2164-6457","2164-6473","('ENGINEERING, MULTIDISCIPLINARY', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS', 'PHYSICS, MULTIDISCIPLINARY')","('ESCI', 'ESCI', 'ESCI')","235","0.8","('Q3', 'Q4', 'Q4')","0.19","1.20"
"JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY","0022-8567","1937-2353","ENTOMOLOGY","('SCIE',)","1,410","0.8","Q3","0.19","0.00"
"Leukemia Research Reports","2213-0489","2213-0489","('HEMATOLOGY', 'ONCOLOGY')","('ESCI', 'ESCI')","353","0.8","('Q4', 'Q4')","0.19","100.00"
"Medwave","0717-6384","0717-6384","MEDICINE, GENERAL & INTERNAL","('ESCI',)","522","0.8","Q3","0.19","91.14"
"MIKROBIYOLOJI BULTENI","0374-9096","0374-9096","MICROBIOLOGY","('SCIE',)","658","0.8","Q4","0.19","97.84"
"PSYCHIATRIC ANNALS","0048-5713","1938-2456","PSYCHIATRY","('SSCI',)","1,399","0.8","Q4","0.19","0.00"
"Somnologie","1432-9123","1439-054X","CLINICAL NEUROLOGY","('ESCI',)","397","0.8","Q4","0.19","59.81"
"Statistical Applications in Genetics and Molecular Biology","2194-6302","1544-6115","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'MATHEMATICAL & COMPUTATIONAL BIOLOGY', 'STATISTICS & PROBABILITY')","('SCIE', 'SCIE', 'SCIE')","1,349","0.8","('Q4', 'Q4', 'Q3')","0.19","36.36"
"ARYA Atherosclerosis","1735-3955","2251-6638","CARDIAC & CARDIOVASCULAR SYSTEMS","('ESCI',)","691","0.8","Q4","0.18","0.00"
"Case Reports in Endocrinology","2090-6501","2090-651X","ENDOCRINOLOGY & METABOLISM","('ESCI',)","455","0.8","Q4","0.18","100.00"
"Ceylon Journal of Science","2513-2814","2513-230X","MULTIDISCIPLINARY SCIENCES","('ESCI',)","432","0.8","Q3","0.18","98.17"
"Edma 0-6-Educacion Matematica en la Infancia","2254-8351","2254-8351","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","62","0.8","Q3","0.18","96.97"
"FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE","0015-1920","0015-1920","BUSINESS, FINANCE","('SSCI',)","150","0.8","Q4","0.18","0.00"
"Geodynamics","1992-142X","2519-2663","GEOCHEMISTRY & GEOPHYSICS","('ESCI',)","448","0.8","Q4","0.18","1.49"
"Geographia Technica","1842-5135","2065-4421","('GEOGRAPHY, PHYSICAL', 'REMOTE SENSING')","('ESCI', 'ESCI')","307","0.8","('Q4', 'Q4')","0.18","99.09"
"Geology Geophysics and Environment","2299-8004","2353-0790","('ENVIRONMENTAL SCIENCES', 'GEOSCIENCES, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","213","0.8","('Q4', 'Q4')","0.18","98.61"
"Ingenius-Revista de Ciencia y Tecnologia","1390-650X","1390-860X","ENGINEERING, MULTIDISCIPLINARY","('ESCI',)","85","0.8","Q3","0.18","100.00"
"International Journal of Decision Support System Technology","1941-6296","1941-630X","COMPUTER SCIENCE, INFORMATION SYSTEMS","('ESCI',)","141","0.8","Q4","0.18","100.00"
"International Journal of Diabetes in Developing Countries","0973-3930","1998-3832","ENDOCRINOLOGY & METABOLISM","('SCIE',)","1,014","0.8","Q4","0.18","7.85"
"International Journal of Maritime Engineering","1479-8751","1740-0716","ENGINEERING, MARINE","('SCIE',)","362","0.8","Q4","0.18","1.56"
"Journal of Biological Research-Thessaloniki","1790-045X","2241-5793","BIOLOGY","('SCIE',)","519","0.8","Q4","0.18","0.00"
"Journal of Language and Cultural Education","1339-4045","1339-4584","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","173","0.8","Q3","0.18","100.00"
"Journal of Research in Pharmacy","2630-6344","2630-6344","PHARMACOLOGY & PHARMACY","('ESCI',)","875","0.8","Q4","0.18","94.39"
"Journal of Sport and Health Research","1989-6239","1989-6239","HOSPITALITY, LEISURE, SPORT & TOURISM","('ESCI',)","323","0.8","Q4","0.18","99.31"
"Jurnal Kejuruteraan","0128-0198","2289-7526","ENGINEERING, MULTIDISCIPLINARY","('ESCI',)","989","0.8","Q3","0.18","96.51"
"Madera y Bosques","1405-0471","2448-7597","FORESTRY","('SCIE',)","661","0.8","Q4","0.18","98.75"
"Nephrologie & Therapeutique","1769-7255","1872-9177","UROLOGY & NEPHROLOGY","('SCIE',)","495","0.8","Q4","0.18","0.00"
"Plant Science Today","2348-1900","2348-1900","PLANT SCIENCES","('ESCI',)","1,553","0.8","Q4","0.18","99.76"
"Sains Malaysiana","0126-6039","","MULTIDISCIPLINARY SCIENCES","('SCIE',)","2,967","0.8","Q3","0.18","99.46"
