"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2025","jif_quartile","jci_2025","percent_citable_oa"
"POLISH JOURNAL OF VETERINARY SCIENCES","1505-1773","2300-2557","VETERINARY SCIENCES","('SCIE',)","1,364","1.4","Q3","0.54","3.10"
"POLITICKA EKONOMIE","0032-3233","2336-8225","('ECONOMICS', 'POLITICAL SCIENCE')","('SSCI', 'SSCI')","187","1.4","('Q3', 'Q3')","0.54","97.12"
"Power and Education","","1757-7438","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","401","1.4","Q2","0.54","100.00"
"American Journal of Sexuality Education","1554-6128","1554-6136","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","661","1.4","Q2","0.53","7.69"
"GEOGRAPHICAL REVIEW","0016-7428","1931-0846","GEOGRAPHY","('SSCI',)","2,538","1.4","Q2","0.53","6.74"
"International Journal of Reproductive Biomedicine","2476-4108","2476-3772","OBSTETRICS & GYNECOLOGY","('ESCI',)","1,810","1.4","Q3","0.53","100.00"
"JOURNAL OF MARITAL AND FAMILY THERAPY","0194-472X","1752-0606","('FAMILY STUDIES', 'PSYCHOLOGY, CLINICAL')","('SSCI', 'SSCI')","2,483","1.4","('Q2', 'Q3')","0.53","41.54"
"JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS","0191-3913","1938-2405","('OPHTHALMOLOGY', 'PEDIATRICS')","('SCIE', 'SCIE')","1,662","1.4","('Q3', 'Q3')","0.53","8.65"
"SPECTROSCOPY LETTERS","0038-7010","1532-2289","SPECTROSCOPY","('SCIE',)","1,594","1.4","Q3","0.53","0.81"
"Empirica","0340-8744","1573-6911","ECONOMICS","('SSCI',)","717","1.4","Q3","0.52","54.63"
"ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS","1292-8119","1262-3377","('AUTOMATION & CONTROL SYSTEMS', 'MATHEMATICS, APPLIED')","('SCIE', 'SCIE')","2,368","1.4","('Q4', 'Q2')","0.52","98.92"
"Global Social Policy","1468-0181","1741-2803","POLITICAL SCIENCE","('ESCI',)","731","1.4","Q3","0.52","44.44"
"HAND CLINICS","0749-0712","1558-1969","ORTHOPEDICS","('SCIE',)","2,399","1.4","Q3","0.52","3.77"
"Journal for the Study of Education and Development","0210-3702","1578-4126","('PSYCHOLOGY, DEVELOPMENTAL', 'PSYCHOLOGY, EDUCATIONAL')","('SSCI', 'SSCI')","265","1.4","('Q4', 'Q4')","0.52","9.89"
"JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION","0309-8265","1466-1845","('EDUCATION & EDUCATIONAL RESEARCH', 'GEOGRAPHY')","('SSCI', 'SSCI')","1,407","1.4","('Q2', 'Q2')","0.52","46.08"
"Montenegrin Journal of Sports Science and Medicine","1800-8755","1800-8763","SPORT SCIENCES","('ESCI',)","256","1.4","Q3","0.52","100.00"
"PEDIATRIC TRANSPLANTATION","1397-3142","1399-3046","('PEDIATRICS', 'TRANSPLANTATION')","('SCIE', 'SCIE')","3,618","1.4","('Q3', 'Q4')","0.52","28.91"
"Studies in Agricultural Economics","1418-2106","2063-0476","AGRICULTURAL ECONOMICS & POLICY","('ESCI',)","356","1.4","Q3","0.52","98.18"
"Zeitschrift fur Erziehungswissenschaft","1434-663X","1862-5215","EDUCATION & EDUCATIONAL RESEARCH","('SSCI',)","969","1.4","Q2","0.52","96.10"
"Alpine Entomology","","2535-0889","ENTOMOLOGY","('ESCI',)","97","1.4","Q2","0.51","100.00"
"Australian Journal of Primary Health","1448-7527","1836-7399","('HEALTH CARE SCIENCES & SERVICES', 'HEALTH POLICY & SERVICES', 'PRIMARY HEALTH CARE', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SSCI', 'SCIE', 'SCIE, SSCI')","1,463","1.4","('Q4', 'Q4', 'Q4', 'Q4')","0.51","84.27"
"Combinatorial Theory","","2766-1334","MATHEMATICS","('ESCI',)","297","1.4","Q1","0.51","99.37"
"CRIMINAL JUSTICE STUDIES","1478-601X","1478-6028","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","('ESCI',)","608","1.4","Q4","0.51","4.23"
"Grotiana","0167-3831","1876-0759","HUMANITIES, MULTIDISCIPLINARY","('ESCI',)","113","1.4","","0.51","24.24"
"Journal of Quantitative Analysis in Sports","2194-6388","1559-0410","SOCIAL SCIENCES, MATHEMATICAL METHODS","('ESCI',)","606","1.4","Q3","0.51","21.33"
"Pedagogies","1554-480X","1554-4818","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","512","1.4","Q2","0.51","8.54"
"Turk Oftalmoloji Dergisi-Turkish Journal of Ophthalmology","1300-0659","2147-2661","OPHTHALMOLOGY","('ESCI',)","928","1.4","Q3","0.51","98.80"
"Annals of Cardiac Anaesthesia","0971-9784","0974-5181","ANESTHESIOLOGY","('ESCI',)","2,031","1.4","Q3","0.50","100.00"
"Applied Neuropsychology-Child","2162-2965","2162-2973","('CLINICAL NEUROLOGY', 'PSYCHOLOGY')","('SCIE', 'SCIE')","1,109","1.4","('Q4', 'Q4')","0.50","4.78"
"Brazilian Oral Research","1807-3107","1807-3107","DENTISTRY, ORAL SURGERY & MEDICINE","('SCIE',)","3,509","1.4","Q3","0.50","97.66"
"Freshwater Science","2161-9549","2161-9565","('ECOLOGY', 'MARINE & FRESHWATER BIOLOGY')","('SCIE', 'SCIE')","2,275","1.4","('Q4', 'Q3')","0.50","8.49"
"Journal of Baltic Science Education","1648-3898","1648-3898","EDUCATION & EDUCATIONAL RESEARCH","('SSCI',)","917","1.4","Q2","0.50","96.74"
"Journal of the Turkish-German Gynecological Association","1309-0399","1309-0380","OBSTETRICS & GYNECOLOGY","('ESCI',)","781","1.4","Q3","0.50","100.00"
"Public Integrity","1099-9922","1558-0989","PUBLIC ADMINISTRATION","('ESCI',)","822","1.4","Q3","0.50","8.96"
"SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION","0036-5513","1502-7686","MEDICAL LABORATORY TECHNOLOGY","('SCIE',)","3,583","1.4","Q3","0.50","19.84"
"SCANDINAVIAN JOURNAL OF ECONOMICS","0347-0520","1467-9442","ECONOMICS","('SSCI',)","2,027","1.4","Q3","0.50","60.00"
"Women-A Cultural Review","0957-4042","1470-1367","HUMANITIES, MULTIDISCIPLINARY","('ESCI',)","322","1.4","","0.50","11.11"
"Chronic Illness","1742-3953","1745-9206","('HEALTH CARE SCIENCES & SERVICES', 'MEDICINE, GENERAL & INTERNAL', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SCIE', 'SCIE, SSCI')","1,266","1.4","('Q4', 'Q2', 'Q4')","0.49","15.84"
"Journal of Motor Learning and Development","2325-3193","2325-3215","('PSYCHOLOGY, DEVELOPMENTAL', 'PSYCHOLOGY, EXPERIMENTAL', 'SPORT SCIENCES')","('ESCI', 'ESCI', 'ESCI')","555","1.4","('Q4', 'Q4', 'Q3')","0.49","6.61"
"JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS","0218-8635","1793-6624","('OPTICS', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","673","1.4","('Q4', 'Q4')","0.49","1.12"
"Journal of Ophthalmic & Vision Research","2008-2010","2008-322X","OPHTHALMOLOGY","('ESCI',)","1,551","1.4","Q3","0.49","98.11"
"Journal of Plastic Surgery and Hand Surgery","2000-656X","2000-6764","('ORTHOPEDICS', 'SURGERY')","('SCIE', 'SCIE')","1,254","1.4","('Q3', 'Q3')","0.49","100.00"
"JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION","8756-971X","1943-6270","ENTOMOLOGY","('SCIE',)","1,994","1.4","Q2","0.49","89.91"
"Medical Molecular Morphology","1860-1480","1860-1499","PATHOLOGY","('SCIE',)","710","1.4","Q3","0.49","24.27"
"Revista Internacional de Andrologia","1698-031X","","ANDROLOGY","('SCIE',)","269","1.4","Q4","0.49","2.65"
"SA Journal of Industrial Psychology","0258-5200","2071-0763","PSYCHOLOGY, APPLIED","('ESCI',)","1,349","1.4","Q3","0.49","100.00"
"APPLIED MEASUREMENT IN EDUCATION","0895-7347","1532-4818","('EDUCATION & EDUCATIONAL RESEARCH', 'PSYCHOLOGY, EDUCATIONAL', 'PSYCHOLOGY, MATHEMATICAL')","('SSCI', 'SSCI', 'SSCI')","1,016","1.4","('Q2', 'Q4', 'Q4')","0.48","6.45"
"Archivio Italiano di Urologia e Andrologia","1124-3562","2282-4197","UROLOGY & NEPHROLOGY","('ESCI',)","1,203","1.4","Q3","0.48","100.00"
"Journal of Postsecondary Student Success","2769-4879","2769-4887","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","104","1.4","Q2","0.48","100.00"
"LIMNOLOGY","1439-8621","1439-863X","LIMNOLOGY","('SCIE',)","1,028","1.4","Q3","0.48","20.75"
"ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS","0020-3157","1572-9052","STATISTICS & PROBABILITY","('SCIE',)","2,032","1.4","Q2","0.47","0.00"
"BEHAVIOURAL PHARMACOLOGY","0955-8810","1473-5849","('BEHAVIORAL SCIENCES', 'NEUROSCIENCES', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SCIE', 'SCIE')","2,344","1.4","('Q4', 'Q4', 'Q4')","0.47","3.36"
"DIATOM RESEARCH","0269-249X","2159-8347","MARINE & FRESHWATER BIOLOGY","('SCIE',)","1,022","1.4","Q3","0.47","6.56"
"Journal of Mathematics in Industry","2190-5983","2190-5983","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","('ESCI',)","240","1.4","Q3","0.47","100.00"
"Psyche-A Journal of Entomology","0033-2615","1687-7438","ENTOMOLOGY","('ESCI',)","405","1.4","Q2","0.47","100.00"
"Advances in Mathematical Physics","1687-9120","1687-9139","PHYSICS, MATHEMATICAL","('SCIE',)","1,137","1.4","Q3","0.46","100.00"
"FISHERIES SCIENCE","0919-9268","1444-2906","FISHERIES","('SCIE',)","4,326","1.4","Q3","0.46","14.29"
"Islets","1938-2014","1938-2022","ENDOCRINOLOGY & METABOLISM","('SCIE',)","633","1.4","Q4","0.46","100.00"
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE","1076-2752","1536-5948","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","8,284","1.4","Q4","0.46","20.81"
"New Zealand Geographer","0028-8144","1745-7939","GEOGRAPHY","('SSCI',)","362","1.4","Q2","0.46","83.33"
"CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES","0317-0861","1911-9917","('ECONOMICS', 'PUBLIC ADMINISTRATION')","('SSCI', 'SSCI')","828","1.4","('Q3', 'Q3')","0.45","2.06"
"Current Dermatology Reports","2162-4933","2162-4933","DERMATOLOGY","('ESCI',)","730","1.4","Q3","0.45","20.95"
"Early Child Development and Care","0300-4430","1476-8275","('EDUCATION & EDUCATIONAL RESEARCH', 'PSYCHOLOGY, DEVELOPMENTAL')","('SSCI', 'SSCI')","3,987","1.4","('Q2', 'Q4')","0.45","12.00"
"Integrative Psychological and Behavioral Science","1932-4502","1936-3567","PSYCHOLOGY, BIOLOGICAL","('SSCI',)","1,169","1.4","Q4","0.45","32.85"
"Interdisciplinary Cardiovascular and Thoracic Surgery","","2753-670X","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'RESPIRATORY SYSTEM', 'SURGERY')","('SCIE', 'SCIE', 'SCIE')","678","1.4","('Q3', 'Q4', 'Q3')","0.45","100.00"
"International Journal of Emotional Education","2073-7629","2073-7629","PSYCHOLOGY, EDUCATIONAL","('ESCI',)","382","1.4","Q4","0.45","100.00"
"JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS","0161-4754","","('HEALTH CARE SCIENCES & SERVICES', 'INTEGRATIVE & COMPLEMENTARY MEDICINE', 'REHABILITATION')","('SCIE', 'SCIE', 'SCIE')","3,361","1.4","('Q4', 'Q3', 'Q3')","0.45","14.00"
"Journal of Neuroscience Psychology and Economics","1937-321X","2151-318X","('ECONOMICS', 'PSYCHOLOGY, MULTIDISCIPLINARY')","('SSCI', 'SSCI')","384","1.4","('Q3', 'Q3')","0.45","5.71"
"Journal of Oral Science","1343-4934","1880-4926","('DENTISTRY, ORAL SURGERY & MEDICINE', 'MATERIALS SCIENCE, BIOMATERIALS')","('SCIE', 'SCIE')","2,147","1.4","('Q3', 'Q4')","0.45","100.00"
"Osong Public Health and Research Perspectives","2210-9099","2233-6052","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('ESCI',)","1,114","1.4","Q4","0.45","100.00"
"Physics","","2624-8174","PHYSICS, MULTIDISCIPLINARY","('ESCI',)","615","1.4","Q3","0.45","100.00"
"Radiology Research and Practice","2090-1941","2090-195X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('ESCI',)","364","1.4","Q3","0.45","100.00"
"Smart Structures and Systems","1738-1584","1738-1991","('ENGINEERING, CIVIL', 'ENGINEERING, MECHANICAL', 'INSTRUMENTS & INSTRUMENTATION')","('SCIE', 'SCIE', 'SCIE')","2,443","1.4","('Q3', 'Q4', 'Q4')","0.45","0.00"
"ACTA OCEANOLOGICA SINICA","0253-505X","1869-1099","OCEANOGRAPHY","('SCIE',)","3,737","1.4","Q4","0.44","0.42"
"CONTEMPORARY FAMILY THERAPY","0892-2764","1573-3335","PSYCHOLOGY, CLINICAL","('ESCI',)","939","1.4","Q3","0.44","33.03"
"Current Problems in Diagnostic Radiology","0363-0188","0363-0188","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('ESCI',)","1,488","1.4","Q3","0.44","21.52"
"DISCRETE DYNAMICS IN NATURE AND SOCIETY","1026-0226","1607-887X","('MATHEMATICS, INTERDISCIPLINARY APPLICATIONS', 'MULTIDISCIPLINARY SCIENCES')","('SCIE', 'SCIE')","3,750","1.4","('Q3', 'Q3')","0.44","100.00"
"Quality Management in Health Care","1063-8628","1550-5154","('HEALTH CARE SCIENCES & SERVICES', 'HEALTH POLICY & SERVICES')","('SCIE', 'SSCI')","659","1.4","('Q4', 'Q4')","0.44","7.76"
"TETRAHEDRON LETTERS","0040-4039","1873-3581","CHEMISTRY, ORGANIC","('SCIE',)","37,599","1.4","Q3","0.44","9.99"
"American Journal of Hospice & Palliative Medicine","1049-9091","1938-2715","HEALTH CARE SCIENCES & SERVICES","('SCIE',)","4,325","1.4","Q4","0.43","14.03"
"CARDIOLOGY CLINICS","0733-8651","1558-2264","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","1,640","1.4","Q3","0.43","3.55"
"High Energy Density Physics","1574-1818","1878-0563","PHYSICS, FLUIDS & PLASMAS","('SCIE',)","1,021","1.4","Q4","0.43","14.84"
"Journal of Animal Behaviour and Biometeorology","","2318-1265","AGRICULTURE, DAIRY & ANIMAL SCIENCE","('ESCI',)","383","1.4","Q3","0.43","99.00"
"NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE","0114-0671","1175-8783","('AGRONOMY', 'HORTICULTURE')","('SCIE', 'SCIE')","1,452","1.4","('Q3', 'Q3')","0.43","4.42"
"SPACE AND POLITY","1356-2576","1470-1235","GEOGRAPHY","('ESCI',)","570","1.4","Q2","0.43","35.85"
"Special Care in Dentistry","0275-1879","1754-4505","DENTISTRY, ORAL SURGERY & MEDICINE","('ESCI',)","1,724","1.4","Q3","0.43","30.86"
"Taiwan Journal of Ophthalmology","2211-5056","2211-5072","OPHTHALMOLOGY","('ESCI',)","944","1.4","Q3","0.43","99.65"
"Asian Development Review","0116-1105","1996-7241","('DEVELOPMENT STUDIES', 'ECONOMICS')","('ESCI', 'ESCI')","446","1.4","('Q3', 'Q3')","0.42","100.00"
"Hemodialysis International","1492-7535","1542-4758","UROLOGY & NEPHROLOGY","('SCIE',)","1,885","1.4","Q3","0.42","20.70"
"HOME HEALTH CARE SERVICES QUARTERLY","0162-1424","1545-0856","HEALTH POLICY & SERVICES","('ESCI',)","370","1.4","Q4","0.42","11.11"
"International Journal of AEROSPACE Psychology","2472-1832","2472-1840","PSYCHOLOGY, APPLIED","('SSCI',)","234","1.4","Q3","0.42","10.00"
"INTERNATIONAL JOURNAL OF MODERN PHYSICS C","0129-1831","1793-6586","('COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS', 'PHYSICS, MATHEMATICAL')","('SCIE', 'SCIE')","2,759","1.4","('Q4', 'Q3')","0.42","2.06"
"Journal of Chiropractic Medicine","0899-3467","1556-3715","REHABILITATION","('ESCI',)","5,184","1.4","Q3","0.42","11.76"
"Journal of Human Reproductive Sciences","0974-1208","1998-4766","('OBSTETRICS & GYNECOLOGY', 'REPRODUCTIVE BIOLOGY')","('ESCI', 'ESCI')","1,677","1.4","('Q3', 'Q4')","0.42","100.00"
"Journal of the Geographical Institute Jovan Cvijic SASA","0350-7599","1821-2808","GEOGRAPHY","('ESCI',)","332","1.4","Q2","0.42","100.00"
"QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","1824-4785","1827-1936","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('SCIE',)","655","1.4","Q3","0.42","5.68"
"Revista Espanola de Investigaciones Sociologicas","0210-5233","1988-5903","SOCIOLOGY","('SSCI',)","683","1.4","Q3","0.42","89.42"
"ACTA ACUSTICA","","2681-4617","ACOUSTICS","('SCIE',)","633","1.4","Q3","0.41","99.55"
"ANNALES HENRI POINCARE","1424-0637","1424-0661","('PHYSICS, MATHEMATICAL', 'PHYSICS, MULTIDISCIPLINARY', 'PHYSICS, PARTICLES & FIELDS')","('SCIE', 'SCIE', 'SCIE')","2,571","1.4","('Q3', 'Q3', 'Q4')","0.41","51.94"
"APPLIED ECONOMICS LETTERS","1350-4851","1466-4291","ECONOMICS","('SSCI',)","6,634","1.4","Q3","0.41","3.74"
"Biomedical Human Kinetics","0043-9630","2080-2234","HEALTH CARE SCIENCES & SERVICES","('ESCI',)","368","1.4","Q4","0.41","100.00"
"ECOLOGICAL PSYCHOLOGY","1040-7413","1532-6969","PSYCHOLOGY, EXPERIMENTAL","('SSCI',)","1,034","1.4","Q4","0.41","23.53"
"European Countryside","1803-8417","1803-8417","GEOGRAPHY","('ESCI',)","630","1.4","Q2","0.41","100.00"
"Health Education","0965-4283","1758-714X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('ESCI',)","922","1.4","Q4","0.41","12.63"
"HORTTECHNOLOGY","1063-0198","1943-7714","HORTICULTURE","('SCIE',)","3,065","1.4","Q3","0.41","99.33"
"INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE","0736-5748","1873-474X","('DEVELOPMENTAL BIOLOGY', 'NEUROSCIENCES')","('SCIE', 'SCIE')","2,848","1.4","('Q4', 'Q4')","0.41","11.61"
"JOURNAL OF INTERVENTIONAL CARDIOLOGY","0896-4327","1540-8183","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","1,580","1.4","Q3","0.41","100.00"
"MYCOSCIENCE","1340-3540","1618-2545","MYCOLOGY","('SCIE',)","1,865","1.4","Q4","0.41","98.90"
"NUCLEAR MEDICINE COMMUNICATIONS","0143-3636","1473-5628","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('SCIE',)","2,835","1.4","Q3","0.41","16.38"
"AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS","1552-4841","1552-485X","('GENETICS & HEREDITY', 'PSYCHIATRY')","('SCIE', 'SCIE')","2,752","1.4","('Q4', 'Q4')","0.40","59.29"
"Brazilian Journal of Cardiovascular Surgery","0102-7638","1678-9741","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'SURGERY')","('SCIE', 'SCIE')","1,630","1.4","('Q3', 'Q3')","0.40","98.17"
"CCF Transactions on High Performance Computing","2524-4922","2524-4930","('COMPUTER SCIENCE, HARDWARE & ARCHITECTURE', 'COMPUTER SCIENCE, INFORMATION SYSTEMS', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS', 'COMPUTER SCIENCE, THEORY & METHODS')","('ESCI', 'ESCI', 'ESCI', 'ESCI')","339","1.4","('Q4', 'Q4', 'Q4', 'Q3')","0.40","13.93"
"Communicable Diseases Intelligence","","2209-6051","INFECTIOUS DISEASES","('ESCI',)","784","1.4","Q4","0.40","99.34"
"GENE EXPRESSION PATTERNS","1567-133X","1872-7298","('DEVELOPMENTAL BIOLOGY', 'GENETICS & HEREDITY')","('SCIE', 'SCIE')","1,221","1.4","('Q4', 'Q4')","0.40","16.28"
"Health Information and Libraries Journal","1471-1834","1471-1842","INFORMATION SCIENCE & LIBRARY SCIENCE","('SSCI',)","2,237","1.4","Q3","0.40","35.87"
"INFORMATION AND COMPUTATION","0890-5401","1090-2651","('COMPUTER SCIENCE, THEORY & METHODS', 'MATHEMATICS, APPLIED')","('SCIE', 'SCIE')","3,014","1.4","('Q3', 'Q2')","0.40","34.02"
"INTERNATIONAL JOURNAL OF MODERN PHYSICS A","0217-751X","1793-656X","('PHYSICS, NUCLEAR', 'PHYSICS, PARTICLES & FIELDS')","('SCIE', 'SCIE')","7,837","1.4","('Q4', 'Q4')","0.40","0.91"
"JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY","0363-8715","1532-3145","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('SCIE',)","4,055","1.4","Q3","0.40","9.38"
"Medical Science Monitor Basic Research","2325-4416","2325-4394","MEDICINE, RESEARCH & EXPERIMENTAL","('ESCI',)","582","1.4","Q4","0.40","95.83"
"Stratigraphy","1547-139X","2331-656X","('GEOLOGY', 'PALEONTOLOGY')","('SCIE', 'SCIE')","402","1.4","('Q2', 'Q3')","0.40","0.00"
"Acute Medicine & Surgery","2052-8817","2052-8817","MEDICINE, GENERAL & INTERNAL","('ESCI',)","1,156","1.4","Q2","0.39","100.00"
"JOURNAL OF FRESHWATER ECOLOGY","0270-5060","2156-6941","('ECOLOGY', 'LIMNOLOGY')","('SCIE', 'SCIE')","1,367","1.4","('Q4', 'Q3')","0.39","100.00"
"Nordic Psychology","1901-2276","1904-0016","PSYCHOLOGY, MULTIDISCIPLINARY","('SSCI',)","573","1.4","Q3","0.39","70.77"
"POLAR BIOLOGY","0722-4060","1432-2056","('BIODIVERSITY CONSERVATION', 'ECOLOGY')","('SCIE', 'SCIE')","6,362","1.4","('Q3', 'Q4')","0.39","41.51"
"Tourism Analysis","1083-5423","1943-3999","HOSPITALITY, LEISURE, SPORT & TOURISM","('ESCI',)","1,207","1.4","Q3","0.39","7.41"
"Advances in Laboratory Medicine-Avances en Medicina de Laboratorio","","2628-491X","MEDICAL LABORATORY TECHNOLOGY","('ESCI',)","364","1.4","Q3","0.38","100.00"
"Autex Research Journal","1470-9589","2300-0929","MATERIALS SCIENCE, TEXTILES","('SCIE',)","986","1.4","Q3","0.38","100.00"
"Econometrics","","2225-1146","ECONOMICS","('ESCI',)","835","1.4","Q3","0.38","100.00"
"FOLIA GEOBOTANICA","1211-9520","1874-9348","PLANT SCIENCES","('SCIE',)","1,070","1.4","Q3","0.38","34.04"
"GEO-MARINE LETTERS","0276-0460","1432-1157","('GEOSCIENCES, MULTIDISCIPLINARY', 'OCEANOGRAPHY')","('SCIE', 'SCIE')","1,686","1.4","('Q3', 'Q4')","0.38","20.65"
"Geohumanities","2373-566X","2373-5678","GEOGRAPHY","('ESCI',)","351","1.4","Q2","0.38","25.81"
"Journal of Evidence-Based Psychotherapies","2360-0853","","PSYCHOLOGY, CLINICAL","('SSCI',)","208","1.4","Q3","0.38","0.00"
"Journal of Industrial and Management Optimization","1547-5816","1553-166X","('ENGINEERING, MULTIDISCIPLINARY', 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE')","('SCIE', 'SCIE', 'SCIE')","2,054","1.4","('Q3', 'Q3', 'Q4')","0.38","99.65"
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE","1545-9624","1545-9632","('ENVIRONMENTAL SCIENCES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SCIE')","2,658","1.4","('Q4', 'Q4')","0.38","12.66"
"Renal Replacement Therapy","","2059-1381","UROLOGY & NEPHROLOGY","('ESCI',)","704","1.4","Q3","0.38","100.00"
"REVISTA IBEROAMERICANA DE MICOLOGIA","1130-1406","","MYCOLOGY","('SCIE',)","929","1.4","Q4","0.38","15.00"
"THEORETICAL POPULATION BIOLOGY","0040-5809","1096-0325","('ECOLOGY', 'EVOLUTIONARY BIOLOGY', 'GENETICS & HEREDITY', 'MATHEMATICAL & COMPUTATIONAL BIOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","3,743","1.4","('Q4', 'Q4', 'Q4', 'Q4')","0.38","56.03"
"COMMUNITY DEVELOPMENT JOURNAL","0010-3802","1468-2656","DEVELOPMENT STUDIES","('SSCI',)","1,310","1.4","Q3","0.37","28.16"
"Horticulture Journal","2189-0102","2189-0110","HORTICULTURE","('SCIE',)","808","1.4","Q3","0.37","100.00"
"INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES","0334-0082","2191-0332","ENGINEERING, AEROSPACE","('SCIE',)","907","1.4","Q3","0.37","0.86"
"JOURNAL OF COMPUTATIONAL NEUROSCIENCE","0929-5313","1573-6873","('MATHEMATICAL & COMPUTATIONAL BIOLOGY', 'NEUROSCIENCES')","('SCIE', 'SCIE')","1,737","1.4","('Q4', 'Q4')","0.37","42.42"
"JOURNAL OF VECTOR BORNE DISEASES","0972-9062","0972-9062","('INFECTIOUS DISEASES', 'PARASITOLOGY', 'TROPICAL MEDICINE')","('SCIE', 'SCIE', 'SCIE')","1,178","1.4","('Q4', 'Q4', 'Q3')","0.37","99.53"
"Molecular Cytogenetics","","1755-8166","GENETICS & HEREDITY","('SCIE',)","871","1.4","Q4","0.37","100.00"
"Open Engineering","2391-5439","2391-5439","ENGINEERING, MULTIDISCIPLINARY","('ESCI',)","1,566","1.4","Q3","0.37","99.44"
"Scandinavian Journal of Child and Adolescent Psychiatry and Psychology","2245-8875","2245-8875","PSYCHIATRY","('ESCI',)","247","1.4","Q4","0.37","100.00"
"Veterinaria Italiana","0505-401X","1828-1427","VETERINARY SCIENCES","('SCIE',)","941","1.4","Q3","0.37","0.00"
"AFRICAN JOURNAL OF ECOLOGY","0141-6707","1365-2028","ECOLOGY","('SCIE',)","2,909","1.4","Q4","0.36","33.97"
"Asia-Pacific Journal of Financial Studies","2041-9945","2041-6156","BUSINESS, FINANCE","('SSCI',)","567","1.4","Q3","0.36","13.33"
"Baghdad Science Journal","2078-8665","2411-7986","MULTIDISCIPLINARY SCIENCES","('ESCI',)","2,060","1.4","Q3","0.36","98.26"
"Computer Science and Information Systems","1820-0214","2406-1018","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'COMPUTER SCIENCE, SOFTWARE ENGINEERING')","('SCIE', 'SCIE')","697","1.4","('Q4', 'Q4')","0.36","99.59"
"European Journal of Applied Linguistics","2192-9521","2192-953X","LINGUISTICS","('ESCI',)","291","1.4","Q2","0.36","72.73"
"Evolutionary Psychology","1474-7049","1474-7049","PSYCHOLOGY, EXPERIMENTAL","('SSCI',)","1,298","1.4","Q4","0.36","100.00"
"Fatigue-Biomedicine Health and Behavior","2164-1846","2164-1862","MEDICINE, RESEARCH & EXPERIMENTAL","('ESCI',)","435","1.4","Q4","0.36","23.08"
"FLY","1933-6934","1933-6942","BIOCHEMISTRY & MOLECULAR BIOLOGY","('SCIE',)","1,753","1.4","Q4","0.36","100.00"
