"journal_name","issn","e_issn","category","total_citations","impact_factor_2022","jif_quartile","jci_2022","percent_oa_gold"
"INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS","1460-8545","1468-2370","('BUSINESS - SSCI', 'MANAGEMENT - SSCI')","6,676","8.1","('Q1', 'Q1')","1.34","37.23"
"Current Opinion in Environmental Science & Health","2468-5844","2468-5844","ENVIRONMENTAL SCIENCES - ESCI","2,677","8.1","","1.33","16.88"
"Science China-Materials","2095-8226","2199-4501","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","8,982","8.1","Q1","1.25","0.80"
"Waste Management","0956-053X","1879-2456","('ENGINEERING, ENVIRONMENTAL - SCIE', 'ENVIRONMENTAL SCIENCES - SCIE')","51,084","8.1","('Q1', 'Q1')","1.15","13.71"
"Inflammation and Regeneration","","1880-8190","('IMMUNOLOGY - SCIE', 'MEDICINE, RESEARCH & EXPERIMENTAL - SCIE')","1,392","8.1","('Q1', 'Q1')","0.91","100.00"
"Frontiers of Medicine","2095-0217","2095-0225","('MEDICINE, RESEARCH & EXPERIMENTAL - SCIE', 'ONCOLOGY - SCIE')","3,240","8.1","('Q1', 'Q1')","0.84","13.62"
"PEDIATRICS","0031-4005","1098-4275","PEDIATRICS - SCIE","90,117","8.0","Q1","3.02","1.21"
"Annual Review of Analytical Chemistry","1936-1327","1936-1335","('CHEMISTRY, ANALYTICAL - SCIE', 'SPECTROSCOPY - SCIE')","2,715","8.0","('Q1', 'Q1')","3.01","1.79"
"World Journal of Emergency Surgery","1749-7922","1749-7922","('EMERGENCY MEDICINE - SCIE', 'SURGERY - SCIE')","3,207","8.0","('Q1', 'Q1')","2.41","98.82"
"JOURNAL OF FINANCE","0022-1082","1540-6261","('BUSINESS, FINANCE - SSCI', 'ECONOMICS - SSCI')","52,346","8.0","('Q1', 'Q1')","2.37","10.22"
"REVIEW OF ECONOMICS AND STATISTICS","0034-6535","1530-9142","('ECONOMICS - SSCI', 'SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI')","21,678","8.0","('Q1', 'Q1')","2.27","4.81"
"International Journal of Mental Health and Addiction","1557-1874","1557-1882","('PSYCHIATRY - SCIE', 'PSYCHIATRY - SSCI', 'PSYCHOLOGY, CLINICAL - SSCI', 'SUBSTANCE ABUSE - SCIE', 'SUBSTANCE ABUSE - SSCI')","7,305","8.0","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","2.05","25.20"
"JCI Insight","","2379-3708","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","24,317","8.0","Q1","1.98","99.14"
"INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT","0263-7863","1873-4634","MANAGEMENT - SSCI","13,602","8.0","Q1","1.83","25.27"
"BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","0003-0007","1520-0477","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","28,731","8.0","Q1","1.79","8.39"
